filename,clip,Label,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_hip_x,right_hip_y,right_hip_v,right_knee_x,right_knee_y,right_knee_v,right_ankle_x,right_ankle_y,right_ankle_v,right_heel_x,right_heel_y,right_heel_v,right_foot_index_x,right_foot_index_y,right_foot_index_v
Fatom_000000_t0000.00s.jpg,Fatom,1,488.68,249.44,0.9999980926513672,469.17,392.78,0.9999847412109375,463.66,490.44,0.9917098879814148,428.72,578.24,0.9974880218505859,410.4,592.45,0.9939205646514893,459.32,602.3,0.99460768699646
Fatom_000001_t0000.10s.jpg,Fatom,0,489.7,246.85,0.9999968409538269,470.68,390.95,0.9999830722808838,463.63,484.87,0.9865374565124512,416.49,577.22,0.9911240339279175,387.39,584.26,0.971086323261261,426.12,600.76,0.9811925888061523
Fatom_000002_t0000.20s.jpg,Fatom,1,489.92,250.7,0.9999946355819702,476.73,392.91,0.999983549118042,455.0,485.57,0.9860159754753113,380.27,556.97,0.9904116988182068,364.02,561.34,0.9644832015037537,388.79,598.92,0.9795271754264832
Fatom_000003_t0000.30s.jpg,Fatom,1,482.28,252.35,0.9999930262565613,473.9,397.15,0.9999819993972778,479.26,488.43,0.9560902118682861,432.26,556.27,0.9660255908966064,414.34,564.12,0.9218999147415161,460.18,590.67,0.9506127834320068
Fatom_000004_t0000.40s.jpg,Fatom,0,479.11,248.4,0.9999924898147583,476.05,394.8,0.9999808073043823,502.68,487.31,0.9432251453399658,504.52,576.77,0.9637861847877502,498.42,593.05,0.9186899662017822,544.95,584.36,0.9442821741104126
Fatom_000005_t0000.50s.jpg,Fatom,0,479.92,246.48,0.9999917149543762,476.46,389.53,0.9999792575836182,501.7,482.14,0.9203275442123413,510.99,576.94,0.9577258229255676,498.33,592.79,0.912661075592041,544.88,586.08,0.9324044585227966
Fatom_000006_t0000.60s.jpg,Fatom,0,480.81,256.39,0.9999921917915344,477.21,401.68,0.9999794960021973,497.31,495.29,0.9136301875114441,497.37,580.86,0.9563047885894775,480.48,595.96,0.9105139374732971,523.14,598.35,0.9313300848007202
Fatom_000007_t0000.70s.jpg,Fatom,0,496.13,255.32,0.999992847442627,483.4,400.75,0.999980092048645,490.35,494.72,0.9203710556030273,455.05,577.24,0.9600521326065063,434.78,593.3,0.9181479811668396,485.38,597.64,0.9369995594024658
Fatom_000008_t0000.80s.jpg,Fatom,1,501.15,245.74,0.9999929070472717,481.82,389.47,0.9999796152114868,466.32,478.48,0.924714982509613,417.44,570.31,0.959375262260437,396.92,579.93,0.9124992489814758,441.19,593.72,0.9344012141227722
Fatom_000009_t0000.90s.jpg,Fatom,1,499.12,245.91,0.9999909400939941,484.08,390.77,0.9999804496765137,460.62,482.02,0.9307284951210022,383.13,563.9,0.9618405103683472,365.58,570.01,0.9094970226287842,399.38,599.58,0.9375342130661011
