filename,right_shoulder_x,right_shoulder_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_ankle_x,right_ankle_y,right_heel_x,right_heel_y,right_foot_index_x,right_foot_index_y,Label
Fatom_000000_t0000.00s.jpg,323.69,166.89,313.28,260.82,318.41,324.56,304.4,380.8,290.02,388.41,323.03,394.43,1
Fatom_000001_t0000.10s.jpg,322.13,160.98,308.63,256.08,294.18,320.3,270.26,380.46,256.57,389.87,283.39,399.01,0
Fatom_000002_t0000.20s.jpg,319.2,164.9,310.5,258.44,303.56,320.29,252.3,371.42,243.33,373.5,263.25,394.9,1
Fatom_000003_t0000.30s.jpg,320.7,168.52,314.44,260.44,325.6,328.26,295.3,375.51,282.7,378.67,315.54,394.84,1
Fatom_000004_t0000.40s.jpg,317.55,164.98,312.27,256.37,330.04,318.23,341.18,381.31,334.44,394.16,363.19,394.01,0
Fatom_000005_t0000.50s.jpg,320.46,164.13,312.04,255.95,326.46,321.28,338.51,390.53,335.52,397.55,367.36,400.04,0
Fatom_000006_t0000.60s.jpg,325.0,172.06,315.52,260.91,328.99,329.42,320.95,383.91,307.85,393.96,343.03,399.59,0
Fatom_000007_t0000.70s.jpg,329.5,168.51,319.81,259.62,325.99,326.14,308.2,381.99,297.12,392.07,327.01,397.05,0
Fatom_000008_t0000.80s.jpg,332.99,161.67,319.05,255.23,318.31,314.08,307.35,374.73,298.38,384.06,333.62,391.32,1
Fatom_000009_t0000.90s.jpg,327.92,165.26,317.85,258.14,306.04,318.5,260.01,375.97,247.71,382.32,281.44,397.88,1
Fatom_000010_t0001.00s.jpg,328.42,169.7,320.74,260.21,332.16,325.62,311.14,375.67,299.52,380.67,328.92,392.73,1
Fatom_000011_t0001.10s.jpg,326.37,165.91,315.46,255.02,320.58,320.81,309.57,376.95,301.61,385.07,333.45,397.56,0
Fatom_000012_t0001.20s.jpg,326.0,160.49,314.7,253.68,328.33,320.51,340.76,386.92,340.42,394.86,373.42,400.94,0
Fatom_000013_t0001.30s.jpg,327.24,166.86,316.91,259.81,329.02,331.02,315.14,386.66,313.07,397.81,344.89,402.01,0
Fatom_000014_t0001.40s.jpg,328.23,168.71,314.95,260.07,324.95,327.47,312.4,384.63,304.14,391.06,332.09,402.51,0
Fatom_000015_t0001.50s.jpg,334.48,166.67,319.06,259.14,325.33,321.02,324.3,381.8,315.88,390.77,351.27,399.64,0
Fatom_000016_t0001.60s.jpg,331.53,164.76,317.48,261.59,294.72,326.89,264.51,383.01,254.34,392.43,274.81,398.8,1
