filename,right_shoulder_x,right_shoulder_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_ankle_x,right_ankle_y,right_heel_x,right_heel_y,right_foot_index_x,right_foot_index_y,Label
frame_00000.jpg,395.13,105.62,374.61,220.57,354.81,286.97,262.02,308.25,249.39,301.77,236.22,331.91,1
frame_00001.jpg,392.05,104.78,371.59,220.31,357.04,291.47,264.63,304.51,256.6,295.76,238.19,328.36,1
frame_00002.jpg,392.9,111.17,374.48,221.91,357.02,296.56,269.37,302.24,259.99,294.26,241.35,326.28,1
frame_00003.jpg,389.66,108.74,371.75,223.29,365.59,303.38,275.48,299.83,270.62,288.54,249.85,321.11,1
frame_00004.jpg,391.8,124.32,370.7,234.23,375.43,303.79,285.33,296.78,276.56,288.37,259.05,322.37,1
frame_00005.jpg,391.31,122.71,369.04,231.16,386.25,310.43,294.03,302.42,281.47,298.25,266.15,329.93,1
frame_00006.jpg,393.72,117.33,370.89,234.01,399.43,316.19,300.91,303.45,292.93,295.72,268.65,342.21,1
frame_00007.jpg,392.79,119.41,367.81,236.49,406.92,330.72,313.33,308.28,304.69,298.98,285.42,341.97,1
frame_00008.jpg,391.45,121.84,372.69,238.5,407.48,327.56,322.33,314.46,311.51,303.52,299.54,348.16,1
frame_00009.jpg,393.61,121.44,372,231.46,407.7,324.79,330.69,313.98,320.2,299.7,312.21,337.24,1
frame_00010.jpg,393.79,124.65,369.64,233.64,419.83,325,335.72,320.56,327.47,313.82,327.52,353.93,1
frame_00011.jpg,389.25,119.51,365.42,234.03,425.44,317.72,342.19,336.66,329.69,332.66,332.94,371.59,1
frame_00012.jpg,387.34,113.41,370.17,228.99,421.47,308.84,351.92,357.13,334.11,355.9,352.93,386.84,1
frame_00013.jpg,387.69,112.31,372.91,229,433.84,302.24,356.86,346.86,345.38,349.1,366.22,385.03,1
frame_00014.jpg,382.8,109.99,372.63,228.03,444.87,298.53,362.54,349.03,346.66,349.61,376.61,387.68,1
frame_00015.jpg,385.02,105.28,373.58,223.06,409.34,309.88,347.47,361.44,331.76,362.55,354.21,395.91,1
frame_00016.jpg,382.68,101.36,369.35,227.76,339.87,318.19,274.77,389.29,259.19,401.62,286.76,436.46,1
frame_00017.jpg,381.47,100.54,368.62,227.79,412,309.11,334.32,368.49,316.37,371.2,338.47,402.58,1
frame_00018.jpg,383.16,98.04,372.71,223.35,461.06,286.57,415.74,375.03,398.26,387.54,445.82,406.4,1
frame_00019.jpg,382.13,98.02,372.03,224.51,459.8,288.07,422.64,383.3,406.6,394.42,451.08,404.55,1
frame_00020.jpg,382.17,95.62,372.72,222.14,454.39,292.02,438.44,395.04,428.12,409.35,464.56,419.66,1
frame_00021.jpg,381.93,96.03,370.99,219.63,337.17,314.66,280.32,361.79,265.76,369.63,282.47,384.06,1
frame_00022.jpg,382.49,94.89,378.47,220.46,445.7,298.32,377.45,384.76,360.83,394.53,398.98,409.63,1
frame_00023.jpg,383.68,93.14,374.16,220.7,408.07,316.43,351.23,376.02,336.21,382.5,364.09,402,1
frame_00024.jpg,384.6,96.99,379.2,224.21,449.53,311.31,440.01,410.42,426.86,422.5,475.66,431.23,1
frame_00025.jpg,384.28,97.84,373.61,224.73,340.01,315.65,248.26,337.9,228.87,320.8,222.11,363.16,1
frame_00026.jpg,387.08,98.93,375.93,224.61,342.37,314.37,247.17,325.07,232.57,311.53,219.91,352.82,1
frame_00027.jpg,384.79,101.83,373.57,226.96,349.73,320.11,268.99,320.07,241,300.19,257.77,339.18,1
frame_00028.jpg,384.75,106.77,368.86,228.05,361.72,311.07,269.32,323.15,251.55,300.07,241.55,336.33,1
frame_00029.jpg,382.45,106.25,365.15,227.38,362.79,311.92,266.3,312.57,256.89,293.06,235.52,332.89,1
frame_00030.jpg,386.46,110.11,365.02,229.58,365.38,308.53,267.63,303.41,262.97,284.92,242.08,327.93,1
frame_00031.jpg,384.47,112.75,364.47,232.89,368.98,308.65,273.08,293.68,269.35,282.16,248.48,326.44,1
frame_00032.jpg,389.06,113.28,363.01,225.45,395.36,312.62,310.24,305.3,297.86,294.74,273.26,322.22,1
frame_00033.jpg,390.03,116.89,363.85,234.04,409.84,341.01,356.03,377.68,343.27,375.16,355.19,408.65,1
frame_00034.jpg,391.38,117.65,365.43,235.26,415.5,330.6,330.55,357.77,314.48,355.33,323.91,391.39,1
frame_00035.jpg,397.24,118.76,371.49,234.51,420.55,334.07,378.62,422.23,362.28,431.22,404.04,445.5,1
frame_00036.jpg,394.46,114.94,372.52,226.7,422.22,318.75,335.61,331.18,318.68,309.49,310.25,354.81,1
frame_00037.jpg,394.1,116.51,374.29,220.92,428.38,305.38,361.77,357.51,345.69,357.61,362.65,391.95,1
frame_00038.jpg,392.76,117.93,370.4,231.5,420.14,327.14,347.62,354.88,333.74,349.46,337.82,388.13,1
frame_00039.jpg,392.41,111.56,374.53,226.47,414.21,319.69,346.6,325.04,340.83,319.58,337.88,356.67,1
frame_00040.jpg,394.77,113.33,381.5,233.18,423.2,322.59,349.98,357.22,334.77,361.45,352.12,389.32,1
frame_00041.jpg,394.75,113.41,378.99,233.47,399.77,317.78,338.19,372.61,324.27,374.91,341.46,405.01,1
frame_00042.jpg,390.79,112.43,375.12,235.07,360.59,326.57,291.89,394.25,278.92,399.73,303.51,427.5,1
frame_00043.jpg,393.3,111.98,379,239.39,345.92,333.35,278.49,400.39,262.81,401.67,289.18,421.94,1
frame_00044.jpg,394.07,109.71,376.65,235.62,341.41,322.3,269.32,390.93,253.25,394.4,272.64,422.58,1
frame_00045.jpg,391.36,108.06,381.52,233.74,343.65,316.49,267.65,382.2,254.24,384.05,264.32,420.27,1
frame_00046.jpg,385.01,107.71,380.38,231.36,341.29,314.76,265.6,374.58,249.96,378.57,256.88,412.29,1
frame_00047.jpg,385.27,107.34,378.53,230.12,342.29,313.95,257.79,370.71,245.47,371.68,248.04,415.74,1
frame_00048.jpg,386.86,104.12,381.81,227.05,342.73,313.6,247,355.66,235.6,354.9,235.32,390.45,1
frame_00049.jpg,386.91,105.4,383.15,229.52,344.97,312.11,247.46,348.89,235.6,347.26,232.19,383.01,1
frame_00050.jpg,388.23,104.16,385.55,229.69,346.85,311.73,247.08,341.71,234.63,340.13,232.28,369.98,1
frame_00051.jpg,392.83,105.24,385.96,226.61,345.66,311.64,250.41,337.04,241.44,333.19,235.4,361.92,1
frame_00052.jpg,395.13,110,384.9,228.54,341.52,314.05,249.66,324.41,240.19,319.58,233.25,354.47,1
frame_00053.jpg,396.93,111.56,386.77,227.85,342.96,313.12,252.62,317.43,241.63,312.66,230.94,340.53,1
frame_00054.jpg,396.41,112.05,385.55,227.21,344.61,316.5,254.96,312.74,247.64,303.72,234.98,332.06,1
frame_00055.jpg,401.75,113.11,386.85,232.64,349.28,321.48,257.93,309.51,251.11,301.02,243.69,326.76,1
frame_00056.jpg,401.66,113.64,384.55,229.17,354.39,315.84,264.14,303.74,258.93,293.23,234.31,325.87,1
frame_00057.jpg,406.99,118.16,386.33,234.25,358.62,306.54,273.52,301.83,266.87,290.76,245.02,322.01,1
frame_00058.jpg,392.9,124.25,384.87,237.53,364,304.6,284.15,298.71,278.99,287.42,270.21,318.54,1
frame_00059.jpg,402.74,120.86,381.6,229.83,371.52,292.38,296.51,299.63,287.31,291.03,266.42,317.66,1
frame_00060.jpg,399.4,121.95,379.41,235.94,391.78,313.42,302.85,297.87,297.07,292.52,275.16,326.64,1
frame_00061.jpg,401.29,121.8,380.27,233.29,404.69,323.41,316.59,301.82,308.17,291.01,284.61,327.97,1
frame_00062.jpg,400.49,124.31,380.16,238.01,416.72,326.5,324.46,307.52,315.07,299.83,292.84,339.98,1
frame_00063.jpg,401.08,119.95,381.33,230.66,424.59,308.87,325.44,305.09,316.18,298.17,298.33,340.17,1
frame_00064.jpg,400.79,121.04,379.44,228.38,419.67,323.44,337.71,310.59,329.62,297.34,317.65,342.32,1
frame_00065.jpg,405,122.75,386.22,235.27,432.66,323.98,341.06,317.92,332.04,308.53,325.55,355.1,1
frame_00066.jpg,403.54,119.14,385.66,232.99,443.02,321.75,351.22,353.05,337,337.94,337.88,378.38,1
frame_00067.jpg,397.76,113.49,382.34,225.16,444.7,313.46,363.86,339.41,345.09,324.61,354.82,373.3,1
frame_00068.jpg,398.8,109.54,381.31,219.81,436.39,302.49,365.1,341.06,349.02,340.69,364.71,379.81,1
frame_00069.jpg,399.54,107.9,379.77,227.04,435.02,302.13,368.54,349.04,354.4,350.93,380.68,387.89,1
frame_00070.jpg,400.66,107.07,376.91,232.76,457.87,292.54,382.59,351.6,365.76,354.85,399.74,391.37,1
frame_00071.jpg,399.72,102.55,379.44,224.71,460.95,283.31,395.06,354.94,376.07,359.36,409.89,391.45,1
frame_00072.jpg,393.64,96.05,375.34,216.69,440.15,310.16,366.38,372.91,347.39,374.79,374.47,410.24,1
frame_00073.jpg,393.98,96.64,378.83,220.89,458.36,290.73,419.69,372.54,402.55,384.63,446.44,400.85,1
frame_00074.jpg,394.14,95.73,376.96,217.44,466.88,284.25,420.27,381.38,414.43,390.7,455.17,404.83,1
frame_00075.jpg,391.52,93.19,380.23,217.72,467.75,286.57,440.01,385.97,425.26,397.94,472.58,410.79,1
frame_00076.jpg,389.29,90.46,380.41,215.9,466.36,296.27,434.72,402.05,437.19,414.04,469.27,427.07,1
frame_00077.jpg,389.66,90.31,386,216.66,466.32,292.85,462.29,401.7,451.86,419.3,507.4,413.86,1
frame_00078.jpg,388.87,92.3,384,214.89,464.84,295.41,470.04,401.85,461.66,417.79,511.6,410.16,1
frame_00079.jpg,390.55,92.16,383.57,217.16,459.92,298.37,477.37,401.74,468.94,418.93,514.08,427.31,1
frame_00080.jpg,394.07,94.91,384.82,222.96,457.21,306.8,484.78,407.98,479.69,428.02,523.21,414.54,1
frame_00081.jpg,392.69,96.81,383.49,223.81,356.47,310.57,282,310.82,251.82,302.56,272.52,329.78,1
frame_00082.jpg,395.12,96.94,377.58,219.96,346.04,310.47,256.28,313.49,242.67,299.07,230.85,342.66,1
frame_00083.jpg,394.74,98.39,375.55,217.61,344.82,308.58,258.77,308.37,248.12,293.39,231.41,335.96,1
frame_00084.jpg,392.83,106.42,370.79,218.26,358.91,319.24,270.53,296.67,259.65,285.55,242.32,322.4,1
frame_00085.jpg,390.01,108.87,362.51,223.57,354.54,312.76,270.52,297.9,264.79,291.33,243.18,327.13,1
frame_00086.jpg,393.16,113.28,372.25,225.92,365.23,300.87,278.07,291.15,272.41,280.96,256.42,316.71,1
frame_00087.jpg,391.36,112.46,362.87,221.11,378.99,305.4,286.63,293.75,280.03,276.95,257.03,318.9,1
frame_00088.jpg,399.34,111.41,360.43,208.17,389.86,306.43,319.82,295.16,303.77,278.34,289.32,310.41,1
frame_00089.jpg,398.47,118.16,375.49,234.17,398.71,315.29,320.39,338.74,307.31,334.56,310.14,369.92,1
frame_00090.jpg,399.19,116.42,380.75,234.61,425.3,332.59,355.1,368.96,340.85,364.85,351.66,404.88,1
frame_00091.jpg,402.06,117.67,379.73,237.38,423.74,334.08,353.42,368.39,338.75,364.91,348.56,403.42,1
frame_00092.jpg,401.93,117.19,383.5,224.58,423.94,315.99,337.16,327.64,321.37,308.06,317.08,352.39,1
frame_00093.jpg,399.03,116.38,381.75,222.14,436.97,307.42,370.91,317.31,357.59,309.15,364.28,346.15,1
frame_00094.jpg,402.93,114.81,379.24,232.9,420.15,332.89,339.4,355.89,324.77,350.11,327.66,387.14,1
frame_00095.jpg,400.42,111.89,376.9,228.94,396.29,330.05,347.22,388.89,334.07,392.07,348.94,420.13,1
frame_00096.jpg,400.37,107.42,388.32,229.18,414.56,320.34,342.74,374.11,326.71,374.62,343.19,409.44,1
frame_00097.jpg,400.02,107.98,385.25,225.06,409.47,314.4,351.59,366.79,338.15,368.65,360.21,390.05,1
frame_00098.jpg,401.75,109.7,393.77,220.48,407.52,308.11,345.76,362.65,331.87,364.95,347.27,395.27,1
frame_00099.jpg,398.52,107.74,388.95,231.19,358.56,328.46,293.33,393.41,275.32,399.68,299.67,424.87,1
frame_00100.jpg,393.61,105.33,385.36,229.24,351.22,316.48,276.68,386.55,259.49,386.72,280.19,412.79,1
frame_00101.jpg,389.48,104.22,383.76,230.78,346.65,315.22,274.47,381.26,257.59,384.54,271.59,416.56,1
frame_00102.jpg,393.54,102.86,383.32,227.88,347.53,311.59,270.97,373.68,256.54,375.34,267.69,414.33,1
frame_00103.jpg,389.86,102.71,384.15,227.48,347.49,311.71,264.16,373.12,250.95,374.97,257.75,410.11,1
frame_00104.jpg,390.77,104.44,387.68,226.78,347.82,310.18,255.52,357.76,244.8,357.08,243.59,395.9,1
frame_00105.jpg,390.75,103.06,387.92,225.72,348.11,310.13,253.84,351.12,241.31,351.25,238.8,385.42,1
frame_00106.jpg,391.09,103.59,388.49,228.59,350.52,309.15,251.84,344.53,241.97,343.53,235.37,381.26,1
frame_00107.jpg,392.4,102.93,388.51,227.6,350.91,306.49,253.29,336.36,242.8,335.04,237.69,367.71,1
frame_00108.jpg,399.87,105.27,391.09,224.12,353.55,310.36,259.82,322.03,252.56,317.12,257.64,343.71,1
